BioSample,biosample_uid,attribute_name,harmonized_name,display_name,value
SAMEA110381793,31958336,ENA-CHECKLIST,,,ERC000037
SAMEA110381793,31958336,ENA-FIRST-PUBLIC,,,2022-11-30
SAMEA110381793,31958336,ENA-LAST-UPDATE,,,2022-11-30
SAMEA110381793,31958336,External Id,,,SAMEA110381793
SAMEA110381793,31958336,INSDC center alias,,,INRA Bordeaux
SAMEA110381793,31958336,INSDC center name,,,INRA Bordeaux
SAMEA110381793,31958336,INSDC first public,,,2022-11-30T00:18:40Z
SAMEA110381793,31958336,INSDC last update,,,2022-11-30T00:18:40Z
SAMEA110381793,31958336,INSDC status,,,public
SAMEA110381793,31958336,Submitter Id,,,Q.rubra
SAMEA110381793,31958336,collection date,collection_date,collection date,2019
SAMEA110381793,31958336,common name,,,northern red oak
SAMEA110381793,31958336,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA110381793,31958336,geographic location (latitude),,,44.74
SAMEA110381793,31958336,geographic location (longitude),,,-0.78
SAMEA110381793,31958336,plant structure,plant_struc,plant structure,leaf
SAMEA110381793,31958336,sample name,sample_name,sample name,Q.rubra
SAMEA112794809,40718716,ENA first public,,,2024-03-31
SAMEA112794809,40718716,ENA-CHECKLIST,,,ERC000011
SAMEA112794809,40718716,External Id,,,SAMEA112794809
SAMEA112794809,40718716,INSDC center name,,,INRAE
SAMEA112794809,40718716,INSDC last update,,,2023-03-17T15:29:33Z
SAMEA112794809,40718716,INSDC status,,,public
SAMEA112794809,40718716,Submitter Id,,,GwOak-T99
SAMEA112794809,40718716,collection_date,collection_date,collection date,2016
SAMEA112794809,40718716,common name,,,sessile oak
SAMEA112794809,40718716,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA112794809,40718716,geographic location (region and locality),,,Sillegny
SAMEA112794809,40718716,provenance,,,Vachères
SAMEA112794809,40718716,provenance_ID,,,233
SAMEA112794809,40718716,sample name,sample_name,sample name,GwOak-T99
SAMEA112794809,40718716,scientific_name,,,Quercus petraea
SAMEA112794809,40718716,tissue_type,tissue,tissue,leaf
SAMEA112794838,40718745,ENA first public,,,2024-03-31
SAMEA112794838,40718745,ENA-CHECKLIST,,,ERC000011
SAMEA112794838,40718745,External Id,,,SAMEA112794838
SAMEA112794838,40718745,INSDC center name,,,INRAE
SAMEA112794838,40718745,INSDC last update,,,2023-03-17T15:29:34Z
SAMEA112794838,40718745,INSDC status,,,public
SAMEA112794838,40718745,Submitter Id,,,GwOak-T186-AHT5J5DSX2
SAMEA112794838,40718745,collection_date,collection_date,collection date,2016
SAMEA112794838,40718745,common name,,,sessile oak
SAMEA112794838,40718745,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA112794838,40718745,geographic location (region and locality),,,Sillegny
SAMEA112794838,40718745,provenance,,,Vachères
SAMEA112794838,40718745,provenance_ID,,,233
SAMEA112794838,40718745,sample name,sample_name,sample name,GwOak-T186-AHT5J5DSX2
SAMEA112794838,40718745,scientific_name,,,Quercus petraea
SAMEA112794838,40718745,tissue_type,tissue,tissue,leaf
SAMEA112794849,40718756,ENA first public,,,2024-03-31
SAMEA112794849,40718756,ENA-CHECKLIST,,,ERC000011
SAMEA112794849,40718756,External Id,,,SAMEA112794849
SAMEA112794849,40718756,INSDC center name,,,INRAE
SAMEA112794849,40718756,INSDC last update,,,2023-03-17T15:29:34Z
SAMEA112794849,40718756,INSDC status,,,public
SAMEA112794849,40718756,Submitter Id,,,GwOak-T62
SAMEA112794849,40718756,collection_date,collection_date,collection date,2016
SAMEA112794849,40718756,common name,,,sessile oak
SAMEA112794849,40718756,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA112794849,40718756,geographic location (region and locality),,,Sillegny
SAMEA112794849,40718756,provenance,,,Grésigne
SAMEA112794849,40718756,provenance_ID,,,97
SAMEA112794849,40718756,sample name,sample_name,sample name,GwOak-T62
SAMEA112794849,40718756,scientific_name,,,Quercus petraea
SAMEA112794849,40718756,tissue_type,tissue,tissue,leaf
SAMEA112794872,40718779,ENA first public,,,2024-03-31
SAMEA112794872,40718779,ENA-CHECKLIST,,,ERC000011
SAMEA112794872,40718779,External Id,,,SAMEA112794872
SAMEA112794872,40718779,INSDC center name,,,INRAE
SAMEA112794872,40718779,INSDC last update,,,2023-03-17T15:29:34Z
SAMEA112794872,40718779,INSDC status,,,public
SAMEA112794872,40718779,Submitter Id,,,GwOak-T9
SAMEA112794872,40718779,collection_date,collection_date,collection date,2016
SAMEA112794872,40718779,common name,,,sessile oak
SAMEA112794872,40718779,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA112794872,40718779,geographic location (region and locality),,,Sillegny
SAMEA112794872,40718779,provenance,,,Saint_Sauvant
SAMEA112794872,40718779,provenance_ID,,,9
SAMEA112794872,40718779,sample name,sample_name,sample name,GwOak-T9
SAMEA112794872,40718779,scientific_name,,,Quercus petraea
SAMEA112794872,40718779,tissue_type,tissue,tissue,leaf
SAMEA112794915,40718822,ENA first public,,,2024-03-31
SAMEA112794915,40718822,ENA-CHECKLIST,,,ERC000011
SAMEA112794915,40718822,External Id,,,SAMEA112794915
SAMEA112794915,40718822,INSDC center name,,,INRAE
SAMEA112794915,40718822,INSDC last update,,,2023-03-17T15:29:35Z
SAMEA112794915,40718822,INSDC status,,,public
SAMEA112794915,40718822,Submitter Id,,,GwOak-T163
SAMEA112794915,40718822,collection_date,collection_date,collection date,2016
SAMEA112794915,40718822,common name,,,sessile oak
SAMEA112794915,40718822,geographic location (country and/or sea),geo_loc_name,geographic location,France
SAMEA112794915,40718822,geographic location (region and locality),,,Sillegny
SAMEA112794915,40718822,provenance,,,Tronçais
SAMEA112794915,40718822,provenance_ID,,,219
SAMEA112794915,40718822,sample name,sample_name,sample name,GwOak-T163
SAMEA112794915,40718822,scientific_name,,,Quercus petraea
SAMEA112794915,40718822,tissue_type,tissue,tissue,leaf
SAMEA14489996,40313867,ArrayExpress-SPECIES,,,Broad Oak
SAMEA14489996,40313867,ENA-FIRST-PUBLIC,,,2023-09-08T13:57:20Z
SAMEA14489996,40313867,organism,,,Quercus robur
SAMEA14489996,40313867,ENA-LAST-UPDATE,,,2023-09-08T13:57:20Z
