BioSample,biosample_uid,xml_accession,xml_id,access,publication_date,submission_date,last_update,sample_title,owner,model,organism,tax_id,attr_ArrayExpress-SPECIES,attr_ENA-CHECKLIST,attr_ENA-FIRST-PUBLIC,attr_ENA-LAST-UPDATE,attr_ENA_first_public,attr_External_Id,attr_INSDC_center_alias,attr_INSDC_center_name,attr_INSDC_first_public,attr_INSDC_last_update,attr_INSDC_status,attr_SUBJECT_ID,attr_Submitter_Id,attr_age,attr_biomaterial_provider,attr_collection_date,attr_common_name,attr_cultivar,attr_dev_stage,attr_ecotype,attr_geo_loc_name,attr_geographic_location_latitude,attr_geographic_location_longitude,attr_geographic_location_region_and_locality,attr_isolate,attr_lat_lon,attr_organism,attr_plant_struc,attr_provenance,attr_provenance_ID,attr_sample_name,attr_scientific_name,attr_tissue,id_biosample,id_id,id_sc,id_sra
SAMEA110381793,31958336,SAMEA110381793,31958336,public,2022-11-30T00:00:00.000,2022-12-01T08:21:22.456,2022-11-30T20:24:38.000,Q.rubra,EBI,Generic,Quercus rubra,3512,,ERC000037,2022-11-30,2022-11-30,,SAMEA110381793,INRA Bordeaux,INRA Bordeaux,2022-11-30T00:18:40Z,2022-11-30T00:18:40Z,public,,Q.rubra,,,2019,northern red oak,,,,France,44.74,-0.78,,,,,leaf,,,Q.rubra,,,SAMEA110381793,,,ERS12479988
SAMEA112794809,40718716,SAMEA112794809,40718716,public,2024-03-31T00:00:00.000,2024-04-02T10:00:28.277,2024-03-30T22:59:44.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,2024-03-31,SAMEA112794809,,INRAE,,2023-03-17T15:29:33Z,public,,GwOak-T99,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Vachères,233,GwOak-T99,Quercus petraea,leaf,SAMEA112794809,,,ERS14795594
SAMEA112794838,40718745,SAMEA112794838,40718745,public,2024-03-31T00:00:00.000,2024-04-02T10:00:29.399,2024-03-30T23:00:41.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,2024-03-31,SAMEA112794838,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T186-AHT5J5DSX2,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Vachères,233,GwOak-T186-AHT5J5DSX2,Quercus petraea,leaf,SAMEA112794838,,,ERS14795623
SAMEA112794849,40718756,SAMEA112794849,40718756,public,2024-03-31T00:00:00.000,2024-04-02T10:00:32.228,2024-03-30T23:12:27.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,2024-03-31,SAMEA112794849,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T62,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Grésigne,97,GwOak-T62,Quercus petraea,leaf,SAMEA112794849,,,ERS14795634
SAMEA112794872,40718779,SAMEA112794872,40718779,public,2024-03-31T00:00:00.000,2024-04-02T10:00:32.533,2024-03-30T23:13:11.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,2024-03-31,SAMEA112794872,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T9,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Saint_Sauvant,9,GwOak-T9,Quercus petraea,leaf,SAMEA112794872,,,ERS14795657
SAMEA112794915,40718822,SAMEA112794915,40718822,public,2024-03-31T00:00:00.000,2024-04-02T10:00:33.374,2024-03-30T23:14:33.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,2024-03-31,SAMEA112794915,,INRAE,,2023-03-17T15:29:35Z,public,,GwOak-T163,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Tronçais,219,GwOak-T163,Quercus petraea,leaf,SAMEA112794915,,,ERS14795700
SAMEA14489996,40313867,SAMEA14489996,40313867,public,2024-03-08T10:17:46.520,2024-03-08T09:18:56.857,2024-03-08T10:17:46.520,dhQueRobu66,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:20Z;2023-09-08,2023-09-08T13:57:20Z;2023-09-08,,,,,,,,OAK_WW1512935139,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14489996,,f9912698-e000-11ec-910f-fa163eac3af7,ERS12117435
SAMEA14490009,40322614,SAMEA14490009,40322614,public,2024-03-08T12:19:11.363,2024-03-08T11:17:48.847,2024-03-08T12:19:11.363,dhQueRobu79,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:20Z;2023-09-08,2023-09-08T13:57:20Z;2023-09-08,,,,,,,,OAK_WW1512935152,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490009,,f9b03286-e000-11ec-910f-fa163eac3af7,ERS12117448
SAMEA14490013,40320721,SAMEA14490013,40320721,public,2024-03-09T12:08:02.500,2024-03-08T11:16:46.150,2024-03-09T12:08:02.500,dhQueRobu82,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:21Z;2023-09-08,2023-09-08T13:57:21Z;2023-09-08,,,,,,,,OAK_WW1512935155,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490013,,f9b7caf0-e000-11ec-910f-fa163eac3af7,ERS12117452
SAMEA14490016,40319609,SAMEA14490016,40319609,public,2024-03-08T11:15:53.567,2024-03-08T10:21:23.080,2024-03-08T11:15:53.567,dhQueRobu86,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:21Z;2023-09-08,2023-09-08T13:57:21Z;2023-09-08,,,,,,,,OAK_WW1512935159,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490016,,f9c131a8-e000-11ec-910f-fa163eac3af7,ERS12117455
