requested_species,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
Quercus_robur,ERR12033538,2023-09-09 05:39:42,2023-09-13 07:57:54,161277430,48705783860,161277430,302,11662,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033538/ERR12033538.lite.1,ERX11417082,DN881300O:B9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117435,SAMEA14489996,simple,38942,Quercus robur,f9912698-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,36C17F2B46B287857B0BAD2475F555BF,001DD4F6A73A5761C92A0ABFE34C61BB
Quercus_robur,ERR12033540,2023-09-09 05:39:42,2023-09-13 10:02:08,171786263,51879451426,171786263,302,12430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033540/ERR12033540.lite.1,ERX11417084,DN881300O:D9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117448,SAMEA14490009,simple,38942,Quercus robur,f9b03286-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,9598C7525845BCD569367FC5E6E8B29C,E0FA3EF78591E90E93F7B692F237B606
Quercus_robur,ERR12033541,2023-09-09 05:39:42,2023-09-13 09:53:00,134333476,40568709752,134333476,302,9721,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033541/ERR12033541.lite.1,ERX11417085,DN881300O:E9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117452,SAMEA14490013,simple,38942,Quercus robur,f9b7caf0-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,614DC2CFCD0B6E82B9F53B860957C754,D6F9E32D7527682F41F6134460947BB5
Quercus_robur,ERR12033542,2023-09-09 05:39:42,2023-09-13 09:53:55,123027593,37154333086,123027593,302,8947,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033542/ERR12033542.lite.1,ERX11417086,DN881300O:F9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117455,SAMEA14490016,simple,38942,Quercus robur,f9c131a8-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,B92942C0AE95C409C0B84ED078DD5666,425089F6C8C33BDB03618A7A9AA49B1F
Quercus_robur,ERR12033543,2023-09-09 05:39:42,2023-09-13 09:55:43,135982895,41066834290,135982895,302,9837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033543/ERR12033543.lite.1,ERX11417087,DN881300O:G9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117456,SAMEA14490017,simple,38942,Quercus robur,f9c5aa3a-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,01FD7975413B4182C67AC7D0840012E1,11C8305CDB46FE7E8CB4BD647F32ED18
Quercus_petraea,ERR12400189,2024-07-23 02:25:29,2024-08-20 09:10:58,50597618,15179285400,50597618,300,4729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400189/ERR12400189.lite.1,ERX11776252,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795594,SAMEA112794809,simple,38865,Quercus petraea,SAMEA112794809,,,,,,,no,,,,,INRAE,ERA27756633,,public,1EE6ED89AB41CC5FA611B2DA0C89A4FE,B3FC4FBC42ADD814C5B291798AE62919
Quercus_petraea,ERR12400284,2024-07-22 19:13:29,2024-08-02 17:47:22,67382816,20214844800,67382816,300,6333,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400284/ERR12400284.lite.1,ERX11776347,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795623,SAMEA112794838,simple,38865,Quercus petraea,SAMEA112794838,,,,,,,no,,,,,INRAE,ERA27756814,,public,0BA3E343A6ACACF8A33B680D23800B5C,AD04ED1413AE4FE5B96612162BE76104
Quercus_petraea,ERR12405606,2024-07-22 18:46:14,2024-08-02 12:53:30,50946048,15283814400,50946048,300,4789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12405/ERR12405606/ERR12405606.lite.1,ERX11781657,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795634,SAMEA112794849,simple,38865,Quercus petraea,SAMEA112794849,,,,,,,no,,,,,INRAE,ERA27759883,,public,14AC8F251EBC25540BEF31CE10D4D755,C5764AEB46208BFC9AEE5F4AC381A5B1
Quercus_petraea,ERR12400188,2024-07-23 01:04:10,2024-08-03 17:14:05,43991281,13197384300,43991281,300,4098,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400188/ERR12400188.lite.1,ERX11776251,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795657,SAMEA112794872,simple,38865,Quercus petraea,SAMEA112794872,,,,,,,no,,,,,INRAE,ERA27756625,,public,C82D5808F5127920CB0D5DFECB2B03EE,ECFE57ADD16340CE8319EABEFD7E0181
Quercus_petraea,ERR12400190,2024-07-23 01:04:10,2024-08-18 13:49:08,39035005,11710501500,39035005,300,3731,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400190/ERR12400190.lite.1,ERX11776253,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795700,SAMEA112794915,simple,38865,Quercus petraea,SAMEA112794915,,,,,,,no,,,,,INRAE,ERA27756634,,public,C1EBF9EE31BBDE31B0E26ED9CB91A427,A91F80776B067145B9BC01D2D1918E7B
