Sample_Name,requested_species,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,bs_biosample_uid,bs_xml_accession,bs_xml_id,bs_access,bs_publication_date,bs_submission_date,bs_last_update,bs_sample_title,bs_owner,bs_model,bs_organism,bs_tax_id,bs_attr_ArrayExpress-SPECIES,bs_attr_ENA-CHECKLIST,bs_attr_ENA-FIRST-PUBLIC,bs_attr_ENA-LAST-UPDATE,bs_attr_ENA_first_public,bs_attr_External_Id,bs_attr_INSDC_center_alias,bs_attr_INSDC_center_name,bs_attr_INSDC_first_public,bs_attr_INSDC_last_update,bs_attr_INSDC_status,bs_attr_SUBJECT_ID,bs_attr_Submitter_Id,bs_attr_age,bs_attr_biomaterial_provider,bs_attr_collection_date,bs_attr_common_name,bs_attr_cultivar,bs_attr_dev_stage,bs_attr_ecotype,bs_attr_geo_loc_name,bs_attr_geographic_location_latitude,bs_attr_geographic_location_longitude,bs_attr_geographic_location_region_and_locality,bs_attr_isolate,bs_attr_lat_lon,bs_attr_organism,bs_attr_plant_struc,bs_attr_provenance,bs_attr_provenance_ID,bs_attr_sample_name,bs_attr_scientific_name,bs_attr_tissue,bs_id_biosample,bs_id_id,bs_id_sc,bs_id_sra
Quercus_326,Quercus_robur,ERR12033538,9/9/23 5:39,9/13/23 7:57,161277430,48705783860,161277430,302,11662,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033538/ERR12033538.lite.1,ERX11417082,DN881300O:B9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117435,SAMEA14489996,simple,38942,Quercus robur,f9912698-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,36C17F2B46B287857B0BAD2475F555BF,001DD4F6A73A5761C92A0ABFE34C61BB,40313867,SAMEA14489996,40313867,public,2024-03-08T10:17:46.520,2024-03-08T09:18:56.857,2024-03-08T10:17:46.520,dhQueRobu66,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:20Z;2023-09-08,2023-09-08T13:57:20Z;2023-09-08,,,,,,,,OAK_WW1512935139,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14489996,,f9912698-e000-11ec-910f-fa163eac3af7,ERS12117435
Quercus_327,Quercus_robur,ERR12033540,9/9/23 5:39,9/13/23 10:02,171786263,51879451426,171786263,302,12430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033540/ERR12033540.lite.1,ERX11417084,DN881300O:D9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117448,SAMEA14490009,simple,38942,Quercus robur,f9b03286-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,9598C7525845BCD569367FC5E6E8B29C,E0FA3EF78591E90E93F7B692F237B606,40322614,SAMEA14490009,40322614,public,2024-03-08T12:19:11.363,2024-03-08T11:17:48.847,2024-03-08T12:19:11.363,dhQueRobu79,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:20Z;2023-09-08,2023-09-08T13:57:20Z;2023-09-08,,,,,,,,OAK_WW1512935152,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490009,,f9b03286-e000-11ec-910f-fa163eac3af7,ERS12117448
Quercus_328,Quercus_robur,ERR12033541,9/9/23 5:39,9/13/23 9:53,134333476,40568709752,134333476,302,9721,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033541/ERR12033541.lite.1,ERX11417085,DN881300O:E9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117452,SAMEA14490013,simple,38942,Quercus robur,f9b7caf0-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,614DC2CFCD0B6E82B9F53B860957C754,D6F9E32D7527682F41F6134460947BB5,40320721,SAMEA14490013,40320721,public,2024-03-09T12:08:02.500,2024-03-08T11:16:46.150,2024-03-09T12:08:02.500,dhQueRobu82,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:21Z;2023-09-08,2023-09-08T13:57:21Z;2023-09-08,,,,,,,,OAK_WW1512935155,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490013,,f9b7caf0-e000-11ec-910f-fa163eac3af7,ERS12117452
Quercus_329,Quercus_robur,ERR12033542,9/9/23 5:39,9/13/23 9:53,123027593,37154333086,123027593,302,8947,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033542/ERR12033542.lite.1,ERX11417086,DN881300O:F9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117455,SAMEA14490016,simple,38942,Quercus robur,f9c131a8-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,B92942C0AE95C409C0B84ED078DD5666,425089F6C8C33BDB03618A7A9AA49B1F,40319609,SAMEA14490016,40319609,public,2024-03-08T11:15:53.567,2024-03-08T10:21:23.080,2024-03-08T11:15:53.567,dhQueRobu86,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:21Z;2023-09-08,2023-09-08T13:57:21Z;2023-09-08,,,,,,,,OAK_WW1512935159,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490016,,f9c131a8-e000-11ec-910f-fa163eac3af7,ERS12117455
Quercus_330,Quercus_robur,ERR12033543,9/9/23 5:39,9/13/23 9:55,135982895,41066834290,135982895,302,9837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/ERR012/12033/ERR12033543/ERR12033543.lite.1,ERX11417087,DN881300O:G9,WGS,RANDOM,GENOMIC,PAIRED,450,0,ILLUMINA,Illumina NovaSeq 6000,ERP137920,PRJEB53142,,1014675,ERS12117456,SAMEA14490017,simple,38942,Quercus robur,f9c5aa3a-e000-11ec-910f-fa163eac3af7,,,,,,,no,,,,,WELLCOME SANGER INSTITUTE,ERA27201120,,public,01FD7975413B4182C67AC7D0840012E1,11C8305CDB46FE7E8CB4BD647F32ED18,40341994,SAMEA14490017,40341994,public,2024-03-09T18:06:34.423,2024-03-08T17:14:08.397,2024-03-09T18:06:34.423,dhQueRobu88,European Bioinformatics Institute,Generic,Quercus robur,38942,Broad Oak,,2023-09-08T13:57:21Z;2023-09-08,2023-09-08T13:57:21Z;2023-09-08,,,,,,,,OAK_WW1512935161,,,,,Broad Oak,,,,,,,,,,Quercus robur,,,,,Quercus robur,,SAMEA14490017,,f9c5aa3a-e000-11ec-910f-fa163eac3af7,ERS12117456
Quercus_331,Quercus_petraea,ERR12400189,7/23/24 2:25,8/20/24 9:10,50597618,15179285400,50597618,300,4729,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400189/ERR12400189.lite.1,ERX11776252,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795594,SAMEA112794809,simple,38865,Quercus petraea,SAMEA112794809,,,,,,,no,,,,,INRAE,ERA27756633,,public,1EE6ED89AB41CC5FA611B2DA0C89A4FE,B3FC4FBC42ADD814C5B291798AE62919,40718716,SAMEA112794809,40718716,public,2024-03-31T00:00:00.000,2024-04-02T10:00:28.277,2024-03-30T22:59:44.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,3/31/24,SAMEA112794809,,INRAE,,2023-03-17T15:29:33Z,public,,GwOak-T99,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Vachères,233,GwOak-T99,Quercus petraea,leaf,SAMEA112794809,,,ERS14795594
Quercus_332,Quercus_petraea,ERR12400284,7/22/24 19:13,8/2/24 17:47,67382816,20214844800,67382816,300,6333,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400284/ERR12400284.lite.1,ERX11776347,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795623,SAMEA112794838,simple,38865,Quercus petraea,SAMEA112794838,,,,,,,no,,,,,INRAE,ERA27756814,,public,0BA3E343A6ACACF8A33B680D23800B5C,AD04ED1413AE4FE5B96612162BE76104,40718745,SAMEA112794838,40718745,public,2024-03-31T00:00:00.000,2024-04-02T10:00:29.399,2024-03-30T23:00:41.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,3/31/24,SAMEA112794838,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T186-AHT5J5DSX2,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Vachères,233,GwOak-T186-AHT5J5DSX2,Quercus petraea,leaf,SAMEA112794838,,,ERS14795623
Quercus_333,Quercus_petraea,ERR12405606,7/22/24 18:46,8/2/24 12:53,50946048,15283814400,50946048,300,4789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12405/ERR12405606/ERR12405606.lite.1,ERX11781657,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795634,SAMEA112794849,simple,38865,Quercus petraea,SAMEA112794849,,,,,,,no,,,,,INRAE,ERA27759883,,public,14AC8F251EBC25540BEF31CE10D4D755,C5764AEB46208BFC9AEE5F4AC381A5B1,40718756,SAMEA112794849,40718756,public,2024-03-31T00:00:00.000,2024-04-02T10:00:32.228,2024-03-30T23:12:27.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,3/31/24,SAMEA112794849,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T62,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Grésigne,97,GwOak-T62,Quercus petraea,leaf,SAMEA112794849,,,ERS14795634
Quercus_334,Quercus_petraea,ERR12400188,7/23/24 1:04,8/3/24 17:14,43991281,13197384300,43991281,300,4098,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400188/ERR12400188.lite.1,ERX11776251,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795657,SAMEA112794872,simple,38865,Quercus petraea,SAMEA112794872,,,,,,,no,,,,,INRAE,ERA27756625,,public,C82D5808F5127920CB0D5DFECB2B03EE,ECFE57ADD16340CE8319EABEFD7E0181,40718779,SAMEA112794872,40718779,public,2024-03-31T00:00:00.000,2024-04-02T10:00:32.533,2024-03-30T23:13:11.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,3/31/24,SAMEA112794872,,INRAE,,2023-03-17T15:29:34Z,public,,GwOak-T9,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Saint_Sauvant,9,GwOak-T9,Quercus petraea,leaf,SAMEA112794872,,,ERS14795657
Quercus_335,Quercus_petraea,ERR12400190,7/23/24 1:04,8/18/24 13:49,39035005,11710501500,39035005,300,3731,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR012/12400/ERR12400190/ERR12400190.lite.1,ERX11776253,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP145809,PRJEB60751,,1094774,ERS14795700,SAMEA112794915,simple,38865,Quercus petraea,SAMEA112794915,,,,,,,no,,,,,INRAE,ERA27756634,,public,C1EBF9EE31BBDE31B0E26ED9CB91A427,A91F80776B067145B9BC01D2D1918E7B,40718822,SAMEA112794915,40718822,public,2024-03-31T00:00:00.000,2024-04-02T10:00:33.374,2024-03-30T23:14:33.000,Quercus petraea-GWAS,EBI,Generic,Quercus petraea,38865,,ERC000011,,,3/31/24,SAMEA112794915,,INRAE,,2023-03-17T15:29:35Z,public,,GwOak-T163,,,2016,sessile oak,,,,France,,,Sillegny,,,,,Tronçais,219,GwOak-T163,Quercus petraea,leaf,SAMEA112794915,,,ERS14795700
