Run ID,Test Date,Assay Name,Sample Name,Number,Sample_Name,Taxon,Original Sample Conc.,Sample_Type,Library,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S1,13,Quercus_390,Quercus phellos ,42.4,Fresh,,ng/uL,0.424,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.482627232,419.2650417,,47.4,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S2,14,Quercus_391,Quercus phellos ,66.2,Fresh,,ng/uL,0.662,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.616219514,426.5661285,,71.6,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S3,15,Quercus_392,Quercus phellos ,48.4,Fresh,,ng/uL,0.484,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.776530251,445.5906136,,56.6,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S4,16,Quercus_393,Quercus phellos ,52.6,Fresh,,ng/uL,0.526,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.365066025,404.6415044,,55.3,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S5,17,Quercus_394,Quercus phellos ,40.5,Fresh,,ng/uL,0.405,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.103225153,393.1851539,,42.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S6,18,Quercus_395,Quercus phellos ,44,Fresh,,ng/uL,0.44,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.295598038,410.3189405,,47.8,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S7,19,Quercus_396,Quercus rubra,146,Fresh,,ng/uL,1.46,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.563512336,349.2931779,,120,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:04:28 PM,dsDNA BR,S8,20,Quercus_397,Quercus rubra,137,Fresh,,ng/uL,1.37,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.451294819,327.6836701,,106,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S9,21,Quercus_398,Quercus rubra,71.8,Fresh,,ng/uL,0.718,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.482627232,419.2650417,,75.6,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S10,22,Quercus_399,Quercus velutina ,34.3,Fresh,,ng/uL,0.343,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.616219514,426.5661285,,40.3,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S11,23,Quercus_400,Quercus velutina ,45.1,Fresh,,ng/uL,0.451,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.776530251,445.5906136,,53.1,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S12,24,Quercus_401,Quercus velutina ,36.7,Fresh,,ng/uL,0.367,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.365066025,404.6415044,,40.5,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S13,25,Quercus_402,Quercus velutina ,71.3,Fresh,,ng/uL,0.713,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.103225153,393.1851539,,70.4,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S14,26,Quercus_403,Quercus velutina ,55.4,Fresh,,ng/uL,0.554,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.295598038,410.3189405,,58.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S15,27,Quercus_404,Quercus imbricana,161,Fresh,,ng/uL,1.61,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.563512336,349.2931779,,131,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:16 PM,dsDNA BR,S16,28,Quercus_405,Quercus nigra,117,Fresh,,ng/uL,1.17,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.451294819,327.6836701,,91.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S17,29,Quercus_406,Quercus laevis ,81.6,Fresh,,ng/uL,0.816,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.482627232,419.2650417,,84.9,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S18,30,Quercus_407,Quercus marilandica ,49,Fresh,,ng/uL,0.49,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.616219514,426.5661285,,54.8,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S19,31,Quercus_408,Quercus marilandica ,90.4,Fresh,,ng/uL,0.904,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.776530251,445.5906136,,98.9,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S20,32,Quercus_409,Quercus marilandica ,53,Fresh,,ng/uL,0.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.365066025,404.6415044,,55.8,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S21,33,Quercus_410,Quercus marilandica ,39.8,Fresh,,ng/uL,0.398,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.103225153,393.1851539,,42,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S22,34,Quercus_411,Quercus marilandica ,70.8,Fresh,,ng/uL,0.708,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.295598038,410.3189405,,73,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S23,35,Quercus_412,Quercus pagoda,111,Fresh,,ng/uL,1.11,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.563512336,349.2931779,,93.8,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:05:49 PM,dsDNA BR,S24,36,Quercus_413,Quercus shumardii,107,Fresh,,ng/uL,1.07,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.451294819,327.6836701,,85.3,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S25,37,Quercus_414,Hybrid,11.2,Herbarium,,ng/uL,0.112,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.482627232,419.2650417,,16.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S26,38,Quercus_415,Quercus nigra,53,Herbarium,,ng/uL,0.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.616219514,426.5661285,,58.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S27,39,Quercus_416,Quercus nigra,32.5,Herbarium,,ng/uL,0.325,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.776530251,445.5906136,,40.1,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S28,40,Quercus_417,Quercus nigra,26.8,Herbarium,,ng/uL,0.268,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.365066025,404.6415044,,31.1,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S29,41,Quercus_418,Quercus nigra,42.7,Herbarium,,ng/uL,0.427,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.103225153,393.1851539,,44.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S30,42,Quercus_419,Quercus nigra,41.6,Herbarium,,ng/uL,0.416,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.295598038,410.3189405,,45.6,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S31,43,Quercus_420,Quercus nigra,18.4,Herbarium,,ng/uL,0.184,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.563512336,349.2931779,,19.9,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:06:27 PM,dsDNA BR,S32,44,Quercus_421,Quercus hemisphaerica,23.4,Herbarium,,ng/uL,0.234,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.451294819,327.6836701,,22.7,4/6/26 12:26,,,,,,8,1.8.0,8
220626-170421,22/06/2026 05:08:08 PM,dsDNA BR,S33,45,Quercus_422,Quercus hemisphaerica,16,Herbarium,,ng/uL,0.16,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.482627232,419.2650417,,21.5,4/6/26 12:26,,,,,,8,1.8.0,8
