"sample","called_genotypes","missing_genotypes","missing_rate","heterozygote_genotypes","heterozygote_rate","mean_dp","median_dp","mean_gq"
"Quercus_002",442,0,0,66,0.149321266968326,702.705882352941,699,98.9524886877828
"Quercus_003",439,3,0.00678733031674208,49,0.110859728506787,961.785067873303,987,98.2171945701357
"Quercus_004",402,40,0.0904977375565611,51,0.115384615384615,458.384615384615,449,89.9638009049774
"Quercus_005",441,1,0.00226244343891403,59,0.133484162895928,578.554298642534,576,98.5904977375566
"Quercus_010",428,14,0.0316742081447964,66,0.149321266968326,628.463800904977,613.5,95.6108597285068
"Quercus_012",442,0,0,67,0.15158371040724,603.515837104072,583,98.7601809954751
"Quercus_013",442,0,0,66,0.149321266968326,702.730769230769,689,99
"Quercus_014",440,2,0.00452488687782805,62,0.14027149321267,872.929864253394,875,98.4773755656109
"Quercus_018",400,42,0.0950226244343891,69,0.156108597285068,323.674208144796,324,89.1606334841629
"Quercus_019",439,3,0.00678733031674208,66,0.149321266968326,639.619909502262,633,98.3280542986425
"Quercus_020",442,0,0,64,0.144796380090498,773.662895927602,742,98.9592760180995
"Quercus_021",441,1,0.00226244343891403,53,0.119909502262443,744.868778280543,743,98.7239819004525
"Quercus_023",438,4,0.00904977375565611,65,0.147058823529412,643.504524886878,622,97.5995475113122
"Quercus_026",440,2,0.00452488687782805,13,0.0294117647058824,2251.5,2369,98.316742081448
"Quercus_031",434,8,0.0180995475113122,54,0.122171945701357,1276.51809954751,1232,96.89592760181
"Quercus_033",442,0,0,65,0.147058823529412,1032.00452488688,1026,99
"Quercus_034",440,2,0.00452488687782805,63,0.142533936651584,756.309954751131,734,98.4366515837104
"Quercus_035",440,2,0.00452488687782805,64,0.144796380090498,793.536199095023,791,98.552036199095
"Quercus_048",440,2,0.00452488687782805,50,0.113122171945701,1696.14253393665,1658,98.552036199095
"Quercus_049",428,14,0.0316742081447964,80,0.180995475113122,491.300904977376,497,95.0452488687783
"Quercus_050",441,1,0.00226244343891403,79,0.178733031674208,500.515837104072,499,98.658371040724
"Quercus_054",442,0,0,65,0.147058823529412,723.407239819005,710.5,99
"Quercus_056",441,1,0.00226244343891403,49,0.110859728506787,1004.83257918552,996,98.3642533936652
"Quercus_058",437,5,0.0113122171945701,58,0.131221719457014,930.151583710407,900,97.7941176470588
"Quercus_059",423,19,0.0429864253393665,42,0.0950226244343891,1107.092760181,1091,94.6719457013575
"Quercus_061",375,67,0.15158371040724,74,0.167420814479638,334.841628959276,337,82.8733031674208
"Quercus_063",440,2,0.00452488687782805,57,0.1289592760181,1151.11312217195,1162,98.3891402714932
"Quercus_064",440,2,0.00452488687782805,68,0.153846153846154,558.042986425339,551,98.552036199095
"Quercus_065",393,49,0.110859728506787,55,0.124434389140271,410.248868778281,401,86.7443438914027
"Quercus_069",411,31,0.0701357466063348,75,0.169683257918552,445.653846153846,451,91.5248868778281
"Quercus_072",440,2,0.00452488687782805,54,0.122171945701357,837.653846153846,829,98.1990950226244
"Quercus_075",442,0,0,64,0.144796380090498,1087.15384615385,1124,99
"Quercus_076",442,0,0,65,0.147058823529412,651.022624434389,640,99
"Quercus_078",440,2,0.00452488687782805,65,0.147058823529412,627.052036199095,617.5,98.4909502262443
"Quercus_080",412,30,0.0678733031674208,35,0.0791855203619909,1091.79185520362,1044,92.2126696832579
"Quercus_082",441,1,0.00226244343891403,65,0.147058823529412,778.567873303167,759,98.7760180995475
"Quercus_085",435,7,0.0158371040723982,64,0.144796380090498,706.330316742081,687,97.3190045248869
"Quercus_086",431,11,0.0248868778280543,65,0.147058823529412,646.617647058824,613,96.5339366515837
"Quercus_087",438,4,0.00904977375565611,54,0.122171945701357,883.77149321267,853,98.131221719457
"Quercus_090",433,9,0.0203619909502262,65,0.147058823529412,737.377828054299,708,97.0294117647059
"Quercus_092",418,24,0.0542986425339367,29,0.0656108597285068,1268.98416289593,1270,93.5361990950226
