# This file was produced by bcftools stats (1.22+htslib-1.22) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  Quercus_plastome/Quercus_plastome.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	Quercus_plastome/Quercus_plastome.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	190
SN	0	number of records:	3705
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3126
SN	0	number of MNPs:	0
SN	0	number of indels:	622
SN	0	number of others:	0
SN	0	number of multiallelic sites:	214
SN	0	number of multiallelic SNP sites:	32
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2177	983	2.21	2143	919	2.33
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1153	795	358	242	0	0	242
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1847	1292	555	380	0	0	380
AF	0	0.005263	573	399	174	101	0	0	101
AF	0	0.010526	198	143	55	42	0	0	42
AF	0	0.015789	88	61	27	20	0	0	20
AF	0	0.021053	47	37	10	16	0	0	16
AF	0	0.026316	46	25	21	19	0	0	19
AF	0	0.031579	43	27	16	12	0	0	12
AF	0	0.036842	31	19	12	10	0	0	10
AF	0	0.042105	32	17	15	12	0	0	12
AF	0	0.047368	15	12	3	5	0	0	5
AF	0	0.052632	11	9	2	6	0	0	6
AF	0	0.057895	13	11	2	5	0	0	5
AF	0	0.063158	9	8	1	5	0	0	5
AF	0	0.068421	6	6	0	0	0	0	0
AF	0	0.073684	3	2	1	3	0	0	3
AF	0	0.078947	6	4	2	3	0	0	3
AF	0	0.084211	6	4	2	1	0	0	1
AF	0	0.089474	5	4	1	5	0	0	5
AF	0	0.094737	5	2	3	11	0	0	11
AF	0	0.100000	13	4	9	10	0	0	10
AF	0	0.105263	3	2	1	2	0	0	2
AF	0	0.110526	6	4	2	0	0	0	0
AF	0	0.115789	7	4	3	3	0	0	3
AF	0	0.121053	5	2	3	2	0	0	2
AF	0	0.126316	1	1	0	1	0	0	1
AF	0	0.131579	3	1	2	0	0	0	0
AF	0	0.136842	5	1	4	0	0	0	0
AF	0	0.142105	2	1	1	3	0	0	3
AF	0	0.147368	1	1	0	2	0	0	2
AF	0	0.152632	4	2	2	1	0	0	1
AF	0	0.157895	6	4	2	0	0	0	0
AF	0	0.163158	4	2	2	1	0	0	1
AF	0	0.168421	0	0	0	1	0	0	1
AF	0	0.178947	1	1	0	1	0	0	1
AF	0	0.184211	1	1	0	1	0	0	1
AF	0	0.189474	2	2	0	1	0	0	1
AF	0	0.194737	1	0	1	2	0	0	2
AF	0	0.200000	1	1	0	0	0	0	0
AF	0	0.205263	1	1	0	2	0	0	2
AF	0	0.210526	3	2	1	0	0	0	0
AF	0	0.215789	2	0	2	0	0	0	0
AF	0	0.221053	3	2	1	0	0	0	0
AF	0	0.226316	1	1	0	2	0	0	2
AF	0	0.231579	3	2	1	5	0	0	5
AF	0	0.242105	1	1	0	1	0	0	1
AF	0	0.247368	4	3	1	2	0	0	2
AF	0	0.252632	2	1	1	1	0	0	1
AF	0	0.257895	1	0	1	1	0	0	1
AF	0	0.263158	3	1	2	1	0	0	1
AF	0	0.268421	4	1	3	2	0	0	2
AF	0	0.273684	3	1	2	1	0	0	1
AF	0	0.284211	0	0	0	1	0	0	1
AF	0	0.289474	1	1	0	0	0	0	0
AF	0	0.294737	0	0	0	1	0	0	1
AF	0	0.300000	1	1	0	2	0	0	2
AF	0	0.310526	1	0	1	0	0	0	0
AF	0	0.315789	1	0	1	0	0	0	0
AF	0	0.321053	1	1	0	0	0	0	0
AF	0	0.326316	1	1	0	1	0	0	1
AF	0	0.352632	1	1	0	0	0	0	0
AF	0	0.378947	1	1	0	0	0	0	0
AF	0	0.384211	2	1	1	0	0	0	0
AF	0	0.389474	1	1	0	0	0	0	0
AF	0	0.394737	3	3	0	1	0	0	1
AF	0	0.400000	2	1	1	0	0	0	0
AF	0	0.405263	1	1	0	0	0	0	0
AF	0	0.410526	4	1	3	0	0	0	0
AF	0	0.415789	2	2	0	1	0	0	1
AF	0	0.421053	0	0	0	1	0	0	1
AF	0	0.426316	1	1	0	0	0	0	0
AF	0	0.431579	3	2	1	0	0	0	0
AF	0	0.436842	3	2	1	0	0	0	0
AF	0	0.442105	2	1	1	0	0	0	0
AF	0	0.447368	2	0	2	0	0	0	0
AF	0	0.452632	1	1	0	0	0	0	0
AF	0	0.457895	4	2	2	1	0	0	1
AF	0	0.463158	9	5	4	0	0	0	0
AF	0	0.468421	1	0	1	0	0	0	0
AF	0	0.473684	3	1	2	0	0	0	0
AF	0	0.478947	2	1	1	0	0	0	0
AF	0	0.484211	9	7	2	0	0	0	0
AF	0	0.489474	6	2	4	0	0	0	0
AF	0	0.494737	3	1	2	0	0	0	0
AF	0	0.542105	1	1	0	0	0	0	0
AF	0	0.621053	1	0	1	0	0	0	0
AF	0	0.663158	1	1	0	0	0	0	0
AF	0	0.668421	0	0	0	1	0	0	1
AF	0	0.673684	0	0	0	1	0	0	1
AF	0	0.710526	0	0	0	1	0	0	1
AF	0	0.726316	0	0	0	1	0	0	1
AF	0	0.789474	2	1	1	1	0	0	1
AF	0	0.800000	1	0	1	0	0	0	0
AF	0	0.815789	1	0	1	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.1	6	3	3	0
QUAL	0	30.2	4	3	1	0
QUAL	0	30.3	4	3	1	0
QUAL	0	30.4	2	2	0	2
QUAL	0	30.6	2	1	1	0
QUAL	0	30.7	2	1	1	0
QUAL	0	30.8	2	0	2	0
QUAL	0	31.0	1	0	1	0
QUAL	0	31.1	2	0	2	0
QUAL	0	31.2	1	1	0	0
QUAL	0	31.5	1	0	1	1
QUAL	0	31.6	2	2	0	0
QUAL	0	31.8	1	1	0	0
QUAL	0	31.9	2	2	0	0
QUAL	0	32.0	1	0	1	0
QUAL	0	32.1	0	0	0	1
QUAL	0	32.2	1	1	0	0
QUAL	0	32.3	1	1	0	0
QUAL	0	32.5	1	1	0	0
QUAL	0	32.8	1	1	0	0
QUAL	0	33.0	1	1	0	0
QUAL	0	33.1	3	1	2	2
QUAL	0	33.2	1	0	1	0
QUAL	0	33.3	1	1	0	1
QUAL	0	33.4	1	0	1	0
QUAL	0	33.5	1	1	0	0
QUAL	0	33.6	2	1	1	0
QUAL	0	34.0	1	1	0	0
QUAL	0	34.1	1	1	0	0
QUAL	0	34.2	1	1	0	1
QUAL	0	34.3	2	2	0	0
QUAL	0	34.4	1	0	1	0
QUAL	0	34.5	1	1	0	0
QUAL	0	34.6	1	0	1	0
QUAL	0	34.7	2	1	1	0
QUAL	0	35.1	4	2	2	0
QUAL	0	35.2	4	2	2	0
QUAL	0	35.3	2	2	0	0
QUAL	0	35.4	1	1	0	1
QUAL	0	35.6	2	2	0	0
QUAL	0	35.8	0	0	0	1
QUAL	0	36.0	1	1	0	0
QUAL	0	36.1	1	1	0	0
QUAL	0	36.2	2	2	0	0
QUAL	0	36.4	6	4	2	0
QUAL	0	36.6	3	1	2	0
QUAL	0	36.7	1	1	0	0
QUAL	0	36.8	1	0	1	0
QUAL	0	36.9	2	1	1	0
QUAL	0	37.0	1	1	0	0
QUAL	0	37.1	1	1	0	0
QUAL	0	37.2	4	4	0	0
QUAL	0	37.4	1	0	1	0
QUAL	0	37.5	2	2	0	0
QUAL	0	37.6	2	2	0	0
QUAL	0	37.7	0	0	0	1
QUAL	0	38.0	0	0	0	1
QUAL	0	38.1	4	3	1	0
QUAL	0	38.2	3	2	1	1
QUAL	0	38.3	2	2	0	0
QUAL	0	38.4	1	0	1	0
QUAL	0	38.5	1	1	0	0
QUAL	0	38.7	2	1	1	0
QUAL	0	38.8	3	3	0	0
QUAL	0	39.0	0	0	0	1
QUAL	0	39.1	0	0	0	1
QUAL	0	39.2	7	4	3	0
QUAL	0	39.3	3	3	0	0
QUAL	0	39.4	2	1	1	0
QUAL	0	39.6	1	1	0	0
QUAL	0	39.7	1	0	1	0
QUAL	0	39.8	1	0	1	0
QUAL	0	39.9	1	1	0	1
QUAL	0	40.0	1	1	0	1
QUAL	0	40.1	1	1	0	0
QUAL	0	40.2	1	0	1	0
QUAL	0	40.3	1	1	0	0
QUAL	0	40.4	1	1	0	0
QUAL	0	40.7	2	1	1	0
QUAL	0	40.8	1	1	0	0
QUAL	0	40.9	1	1	0	0
QUAL	0	41.0	1	1	0	0
QUAL	0	41.1	0	0	0	1
QUAL	0	41.2	1	0	1	0
QUAL	0	41.3	1	0	1	0
QUAL	0	41.4	2	2	0	0
QUAL	0	41.5	1	1	0	1
QUAL	0	41.6	1	1	0	0
QUAL	0	41.7	0	0	0	1
QUAL	0	41.9	2	1	1	0
QUAL	0	42.2	2	0	2	0
QUAL	0	42.3	1	0	1	0
QUAL	0	42.4	1	1	0	0
QUAL	0	42.5	3	2	1	0
QUAL	0	42.6	1	1	0	1
QUAL	0	42.9	1	0	1	0
QUAL	0	43.0	0	0	0	1
QUAL	0	43.1	2	2	0	0
QUAL	0	43.2	1	1	0	0
QUAL	0	43.5	1	1	0	0
QUAL	0	43.6	2	1	1	1
QUAL	0	43.9	1	0	1	0
QUAL	0	44.0	2	2	0	1
QUAL	0	44.1	2	2	0	1
QUAL	0	44.2	6	5	1	0
QUAL	0	44.3	2	0	2	1
QUAL	0	44.4	0	0	0	1
QUAL	0	44.7	1	1	0	0
QUAL	0	45.1	3	3	0	0
QUAL	0	45.2	0	0	0	1
QUAL	0	45.6	2	2	0	0
QUAL	0	45.7	3	2	1	0
QUAL	0	46.0	1	1	0	0
QUAL	0	46.1	2	2	0	0
QUAL	0	46.2	2	2	0	1
QUAL	0	46.3	2	2	0	0
QUAL	0	46.6	2	2	0	0
QUAL	0	46.7	1	1	0	1
QUAL	0	47.0	1	1	0	1
QUAL	0	47.1	1	0	1	1
QUAL	0	47.2	0	0	0	1
QUAL	0	47.4	1	1	0	0
QUAL	0	47.5	2	2	0	0
QUAL	0	47.6	1	1	0	0
QUAL	0	48.1	2	1	1	1
QUAL	0	48.2	1	1	0	0
QUAL	0	48.3	1	1	0	0
QUAL	0	48.4	3	0	3	0
QUAL	0	48.6	2	2	0	0
QUAL	0	48.8	2	1	1	0
QUAL	0	48.9	2	2	0	0
QUAL	0	49.1	2	1	1	0
QUAL	0	49.2	1	1	0	0
QUAL	0	49.3	3	2	1	0
QUAL	0	49.4	0	0	0	1
QUAL	0	49.7	3	2	1	0
QUAL	0	49.9	2	2	0	0
QUAL	0	50.0	2	1	1	0
QUAL	0	50.1	3	0	3	0
QUAL	0	50.2	3	2	1	0
QUAL	0	50.3	2	2	0	0
