K,cv_error,file
1,0.27421,Quercus_admix_20260522_K1_cv10.log
2,0.26888,Quercus_admix_20260522_K2_cv10.log
3,0.26809,Quercus_admix_20260522_K3_cv10.log
4,0.26378,Quercus_admix_20260522_K4_cv10.log
5,0.2674,Quercus_admix_20260522_K5_cv10.log
6,0.27274,Quercus_admix_20260522_K6_cv10.log
7,0.27407,Quercus_admix_20260522_K7_cv10.log
8,0.28962,Quercus_admix_20260522_K8_cv10.log
9,0.28765,Quercus_admix_20260522_K9_cv10.log
10,0.29457,Quercus_admix_20260522_K10_cv10.log
11,0.29926,Quercus_admix_20260522_K11_cv10.log
12,0.30538,Quercus_admix_20260522_K12_cv10.log
13,NA,NA
14,NA,NA
15,0.31978,Quercus_admix_20260522_K15_cv10.log
16,0.32727,Quercus_admix_20260522_K16_cv10.log
17,0.32159,Quercus_admix_20260522_K17_cv10.log
18,0.33308,Quercus_admix_20260522_K18_cv10.log
19,0.33719,Quercus_admix_20260522_K19_cv10.log
20,0.3394,Quercus_admix_20260522_K20_cv10.log
