K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_002,Louisiana,LA,05,05-Union (AR/LA),-92.3645,32.89079,cluster_1,1e-5
2,Quercus_002,Louisiana,LA,05,05-Union (AR/LA),-92.3645,32.89079,cluster_2,0.99999
2,Quercus_003,Arkansas,AR,02,02-Hempstead (AR),-93.644142,33.78853,cluster_1,0.99999
2,Quercus_003,Arkansas,AR,02,02-Hempstead (AR),-93.644142,33.78853,cluster_2,1e-5
2,Quercus_004,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-92.997044,33.711624,cluster_1,0.076083
2,Quercus_004,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-92.997044,33.711624,cluster_2,0.923917
2,Quercus_005,Louisiana,LA,05,05-Union (AR/LA),-92.3648,32.8913,cluster_1,0.030442
2,Quercus_005,Louisiana,LA,05,05-Union (AR/LA),-92.3648,32.8913,cluster_2,0.969558
2,Quercus_010,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_1,0.99999
2,Quercus_010,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_2,1e-5
2,Quercus_012,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_1,0.010203
2,Quercus_012,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_2,0.989797
2,Quercus_013,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_1,1e-5
2,Quercus_013,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_2,0.99999
2,Quercus_014,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_1,0.41238
2,Quercus_014,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_2,0.58762
2,Quercus_018,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17231,33.65779,cluster_1,1e-5
